name,email,company,role,location,focus
Aman Sharma,rewantgoenka87076@gmail.com,Flipkart,Technical Recruiter,Bangalore,SDE Interns
Priya Mehta,rewantgoenka87076@gmail.com,Zomato,Talent Acquisition Specialist,Gurgaon,Backend Engineers
Rohit Verma,rewantgoenka87076@gmail.com,Razorpay,HR Manager,Bangalore,Full Stack Developers
Neha Kapoor,rewantgoenka87076@gmail.com,CRED,Recruiter,Bangalore,Frontend Engineers
Karan Malhotra,rewantgoenka87076@gmail.com,Swiggy,Senior Recruiter,Bangalore,SDE Interns
Simran Kaur,rewantgoenka87076@gmail.com,Meesho,Talent Partner,Bangalore,Data Analysts
Arjun Nair,rewantgoenka87076@gmail.com,Paytm,HR Executive,Noida,Software Engineers
Sneha Iyer,rewantgoenka87076@gmail.com,Freshworks,Recruiter,Chennai,Product Engineers
Vikas Gupta,rewantgoenka87076@gmail.com,Nykaa,HR Manager,Mumbai,Frontend Developers
Anjali Singh,rewantgoenka87076@gmail.com,Ola,Talent Acquisition,Bangalore,SDE Interns
Rahul Jain,rewantgoenka87076@gmail.com,PhonePe,Recruiter,Bangalore,Backend Engineers
Pooja Bansal,rewantgoenka87076@gmail.com,Delhivery,HR Executive,Gurgaon,Operations + Tech
Nikhil Arora,rewantgoenka87076@gmail.com,Zepto,Talent Partner,Bangalore,Full Stack Interns
Ritika Sethi,rewantgoenka87076@gmail.com,Urban Company,Recruiter,Gurgaon,Frontend Engineers
Manish Yadav,rewantgoenka87076@gmail.com,PolicyBazaar,HR Manager,Gurgaon,Backend Developers
Kritika Agarwal,rewantgoenka87076@gmail.com,ShareChat,Talent Acquisition,Bangalore,ML Engineers
Deepak Chauhan,rewantgoenka87076@gmail.com,Unacademy,Recruiter,Bangalore,SDE Interns
Shreya Bose,rewantgoenka87076@gmail.com,Dream11,HR Executive,Mumbai,Data Engineers
Aditya Khanna,rewantgoenka87076@gmail.com,Groww,Talent Partner,Bangalore,Backend Engineers
Tanvi Desai,rewantgoenka87076@gmail.com,Upstox,Recruiter,Mumbai,Frontend Interns
